"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1039","TC-11 a search that matches nothing says so rather than showing everything","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1157","TC-18 the contact form submits and confirms","chromium","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","1465","TC-13 a brand narrows the catalogue to that brand","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","788","TC-09 a product page states everything a buyer decides on","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","11636","TC-05 the wrong password is refused and no session is created","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","849","TC-20 a visitor can subscribe from the cart page","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","2810","TC-02 a visitor can subscribe from the footer","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","896","TC-19 a review can be left against a product","chromium","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","1393","TC-02 a visitor can subscribe from the footer","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","2209","TC-01 the landing page renders its carousel, catalogue and categories","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","999","TC-08 the products page lists the catalogue","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
