"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5159","TC-14 two products added from the grid both arrive in the cart","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1393","TC-02 a visitor can subscribe from the footer","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","4694","TC-16 removing the only product leaves the cart empty, not stale","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1465","TC-13 a brand narrows the catalogue to that brand","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2816","TC-13 a brand narrows the catalogue to that brand","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2237","VR-19 the contact form","visual","2026-09-26","passed","2026-09-26","Visual: contact","vr-tests/contact.vr.spec.ts","",""
"","2209","TC-01 the landing page renders its carousel, catalogue and categories","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","2332","VR-16 the signup form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","2291","TC-08 the products page lists the catalogue","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2390","VR-02 hero carousel, first slide","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","2277","VR-15 the login form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","227","API-02 the product list refuses a POST with 405 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","2826","VR-12 the added to cart modal","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","2426","VR-05 footer and subscription box","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","1716","TC-19 a review can be left against a product","webkit","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","2522","VR-18 the account details form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","1157","TC-18 the contact form submits and confirms","chromium","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","896","TC-19 a review can be left against a product","chromium","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","2815","TC-17 the cart survives navigating away and back","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","3285","VR-11 the checkout control","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","802","API-07 an account created over the API can log in","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","408","API-09 the wrong password is refused without saying which field was wrong","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","3072","TC-15 the quantity chosen on the product page is the quantity in the cart","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1255","TC-01 the landing page renders its carousel, catalogue and categories","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","27607","TC-12 a category narrows the catalogue to that category","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","999","TC-08 the products page lists the catalogue","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2156","VR-09 the review form","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2616","VR-04 a catalogue tile","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","2229","TC-10 search narrows the catalogue rather than returning all of it","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2810","TC-02 a visitor can subscribe from the footer","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","5428","TC-14 two products added from the grid both arrive in the cart","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1039","TC-11 a search that matches nothing says so rather than showing everything","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","9713","TC-03 a product from the recommended row reaches the cart","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","13064","TC-06 an existing account can log in and log out again","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","849","TC-20 a visitor can subscribe from the cart page","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","2241","TC-18 the contact form submits and confirms","webkit","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","3105","VR-07 search results heading and first tile","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","111","API-06 a search without a term is refused with 400 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
